id,election_id,upper_tier,lower_tier,current_council,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes,,,,,,
wir_b_029,1973wir_b_1004,Merseyside,Wirral,Wirral,1973,wir_b_1004,Bebington: South Bromborough & Eastham,Howe,CON,1731,0,3,5,12861,14375,37.25734,36.12522,,,,,,,,
wir_b_030,1973wir_b_1004,Merseyside,Wirral,Wirral,1973,wir_b_1004,Bebington: South Bromborough & Eastham,Winter,CON,1577,0,3,6,12861,14375,37.25734,32.9113,,,,,,,,
wir_b_031,1973wir_b_1004,Merseyside,Wirral,Wirral,1973,wir_b_1004,Bebington: South Bromborough & Eastham,Gilchrist P.,Lib,851,1,3,7,12861,14375,37.25734,17.76,,,,,,,,
wir_b_032,1973wir_b_1004,Merseyside,Wirral,Wirral,1973,wir_b_1004,Bebington: South Bromborough & Eastham,Astill,Lib,741,0,3,8,12861,14375,37.25734,15.46435,,,,,,,,
wir_b_033,1973wir_b_1004,Merseyside,Wirral,Wirral,1973,wir_b_1004,Bebington: South Bromborough & Eastham,Harney,Lib,728,0,3,9,12861,14375,37.25734,15.19304,,,,,,,,
wir_b_034,1973wir_b_1005,Merseyside,Wirral,Wirral,1973,wir_b_1005,Birkenhead: Argyle Clifton Holt,Kimberley R.,LAB,1580,0,3,1,8985,6337,23.50955,74.7988,,,,,,,,
wir_b_035,1973wir_b_1005,Merseyside,Wirral,Wirral,1973,wir_b_1005,Birkenhead: Argyle Clifton Holt,Parnall,LAB,1577,0,3,2,8985,6337,23.50955,74.65678,,,,,,,,
wir_b_036,1973wir_b_1005,Merseyside,Wirral,Wirral,1973,wir_b_1005,Birkenhead: Argyle Clifton Holt,Tomlinson,LAB,1515,0,3,3,8985,6337,23.50955,71.72163,,,,,,,,
wir_b_037,1973wir_b_1005,Merseyside,Wirral,Wirral,1973,wir_b_1005,Birkenhead: Argyle Clifton Holt,Peers L.,CON,589,1,3,4,8985,6337,23.50955,27.88386,,,,,,,,
wir_b_038,1973wir_b_1005,Merseyside,Wirral,Wirral,1973,wir_b_1005,Birkenhead: Argyle Clifton Holt,Wilson,CON,546,0,3,5,8985,6337,23.50955,25.84819,,,,,,,,
wir_b_039,1973wir_b_1005,Merseyside,Wirral,Wirral,1973,wir_b_1005,Birkenhead: Argyle Clifton Holt,Gates,CON,530,0,3,6,8985,6337,23.50955,25.09074,,,,,,,,
wir_b_040,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Kellett S.,LAB,1358,0,3,1,8707,8506,32.56384,47.8956,,,,,,,,
wir_b_041,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Bagnall,LAB,1337,0,3,2,8707,8506,32.56384,47.15495,,,,,,,,
wir_b_042,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Price A.,LAB,1159,0,3,3,8707,8506,32.56384,40.87703,,,,,,,,
wir_b_043,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Jones,CON,1143,0,3,4,8707,8506,32.56384,40.31272,,,,,,,,
wir_b_044,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Welsh,CON,993,1,3,5,8707,8506,32.56384,35.02234,,,,,,,,
wir_b_045,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Kelly,CON,968,0,3,6,8707,8506,32.56384,34.14061,,,,,,,,
wir_b_046,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Tomkins,Lib,534,0,3,7,8707,8506,32.56384,18.83377,,,,,,,,
wir_b_047,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Spencer,Lib,511,0,3,8,8707,8506,32.56384,18.02257,,,,,,,,
wir_b_048,1973wir_b_1006,Merseyside,Wirral,Wirral,1973,wir_b_1006,Birkenhead: Bebington & Mersey,Prosser,Lib,503,0,3,9,8707,8506,32.56384,17.74042,,,,,,,,
wir_b_049,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Evans J.,Lib,2444,0,3,1,9993,12801,42.69989,57.27678,,,,,,,,
wir_b_050,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Evans,Lib,2202,0,3,2,9993,12801,42.69989,51.60534,,,,,,,,
wir_b_051,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Jones A.,Lib,2003,0,3,3,9993,12801,42.69989,46.94165,,,,,,,,
wir_b_052,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Stretch R.,CON,1066,0,3,4,9993,12801,42.69989,24.98242,,,,,,,,
wir_b_053,1973wir_b_1007,Merseyside,Wirral,Wirral,1973,wir_b_1007,Birkenhead: Cathcart Claughton Cleveland,Hesketh,CON,1064,0,3,5,9993,12801,42.69989,24.93555,,,,,,,,
